cid	name	formula	weight	xlogp	rotb	hb_donor	hb_aceptor	heavy_atom	synonym	iso_smile	inchi
47628	N-(2-morpholin-4-ylethyl)-4-nitro-2,1,3-benzoxadiazol-7-amine	C12H15N5O4	293.283	0.7	4	1	8	21	BFZ 5	C1COCCN1CCNC2=CC=C(C3=NON=C23)[N+](=O)[O-]	InChI=1S/C12H15N5O4/c18-17(19)10-2-1-9(11-12(10)15-21-14-11)13-3-4-16-5-7-20-8-6-16/h1-2,13H,3-8H2
47576	1-[4-[4-[[(2S,4R)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone	C26H28Cl2N4O4	531.434	4.3	7	0	6	36	ketoconazole	CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl	InChI=1S/C26H28Cl2N4O4/c1-19(33)31-10-12-32(13-11-31)21-3-5-22(6-4-21)34-15-23-16-35-26(36-23,17-30-9-8-29-18-30)24-7-2-20(27)14-25(24)28/h2-9,14,18,23H,10-13,15-17H2,1H3/t23-,26-/m1/s1
47538	N,N-dimethyl-2-(2-methyl-1,3-benzodioxol-2-yl)ethanamine	C12H17NO2	207.273	2.4	3	0	3	15	N,N-dimethyl-2-(2-methyl-1,3-benzodioxol-2-yl)ethanamine	CC1(OC2=CC=CC=C2O1)CCN(C)C	InChI=1S/C12H17NO2/c1-12(8-9-13(2)3)14-10-6-4-5-7-11(10)15-12/h4-7H,8-9H2,1-3H3
47537	dimethyl-[2-(2-methyl-1,3-benzodioxol-2-yl)ethyl]azanium;chloride	C12H18ClNO2	243.731	None	3	1	3	16	2-(2-(Dimethylamino)ethyl)-2-methyl-1,3-benzodioxole hydrochloride	CC1(OC2=CC=CC=C2O1)CC[NH+](C)C.[Cl-]	InChI=1S/C12H17NO2.ClH/c1-12(8-9-13(2)3)14-10-6-4-5-7-11(10)15-12;/h4-7H,8-9H2,1-3H3;1H
47456	(2-propan-2-yloxyphenyl) N-(diethylaminosulfanyl)-N-methylcarbamate	C15H24N2O3S	312.428	3.5	8	0	5	21	N-(Diethylamino)thio-N-methylcarbamic acid o-isopropoxyphenyl ester	CCN(CC)SN(C)C(=O)OC1=CC=CC=C1OC(C)C	InChI=1S/C15H24N2O3S/c1-6-17(7-2)21-16(5)15(18)20-14-11-9-8-10-13(14)19-12(3)4/h8-12H,6-7H2,1-5H3
47395	4-hydroxy-4-oxobut-2-enoate;methyl(4-propylhept-1-en-4-yl)azanium	C15H27NO4	285.384	None	8	2	4	20		CCCC(CCC)(CC=C)[NH2+]C.C(=CC(=O)[O-])C(=O)O	InChI=1S/C11H23N.C4H4O4/c1-5-8-11(12-4,9-6-2)10-7-3;5-3(6)1-2-4(7)8/h5,12H,1,6-10H2,2-4H3;1-2H,(H,5,6)(H,7,8)
47376	4-ethyloct-5-yn-4-amine	C10H19N	153.269	2.3	4	1	1	11	4-ethyloct-5-yn-4-amine	CCCC(CC)(C#CCC)N	InChI=1S/C10H19N/c1-4-7-9-10(11,6-3)8-5-2/h4-6,8,11H2,1-3H3
47366	1,2,3,4,5-pentachloro-6-cyclohexyloxybenzene	C12H11Cl5O	348.469	6.8	2	0	1	18	Cyclohexyl-pentachlorophenyl ether	C1CCC(CC1)OC2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl	InChI=1S/C12H11Cl5O/c13-7-8(14)10(16)12(11(17)9(7)15)18-6-4-2-1-3-5-6/h6H,1-5H2
47356	N-cyclopropyl-3-[3-(trifluoromethyl)phenyl]prop-2-enamide	C13H12F3NO	255.24	3.1	3	1	4	18		C1CC1NC(=O)C=CC2=CC(=CC=C2)C(F)(F)F	InChI=1S/C13H12F3NO/c14-13(15,16)10-3-1-2-9(8-10)4-7-12(18)17-11-5-6-11/h1-4,7-8,11H,5-6H2,(H,17,18)
47324	[1-(1,3-benzodioxol-5-yloxy)-2-(1,3-benzodioxol-5-yloxymethyl)-5-(dimethylamino)pentan-2-yl] N-methylcarbamate	C24H30N2O8	474.51	3.5	12	1	9	34	AC1L2HUU	CNC(=O)OC(CCCN(C)C)(COC1=CC2=C(C=C1)OCO2)COC3=CC4=C(C=C3)OCO4	InChI=1S/C24H30N2O8/c1-25-23(27)34-24(9-4-10-26(2)3,13-28-17-5-7-19-21(11-17)32-15-30-19)14-29-18-6-8-20-22(12-18)33-16-31-20/h5-8,11-12H,4,9-10,13-16H2,1-3H3,(H,25,27)
