Name of PDF file,Name of RCSB PDB ID,Name of pdb file,Name of protein, Model  Seq ID%,Transmembrane?,Human,Rat,Mouse,Comment,,,Reference structure details
5HT1,4IAQ,ht1.pdb,5-HT1 receptor,,,X,,,"5HT1 was available only in fragment with ligands. Ligand removed, new PDB file made",,,
5HT2A,5TVN,ht2.pdb,5-HT2 receptor,,,X,,,"5HT2B was available only in fragment with ligands. Ligand removed, new PDB file made",,,
5HT2C,,,,,,,,,5HT2C was not found,,,
5HT3,4PIR,4pir.pdb,5-HT3 receptor,,,,,X,Structure OK . Removed ligands,,,
5HT4,,,5-HT4 receptor,,,,,,Not found,,,
5HT5,,,5-HT5 receptor,,,,,,Not found,,,
5HT6,,,5-HT6 receptor,,,,,,Not found,,,
5HT7,,,5-HT7 receptor,,,,,,Not found,,,
5HTNS,,,,,,,,,Not found,,,
Achase,,,Acetylcholineesterase,,,,,,Same as Achase_HR,,,
Achase_HR,5HF5,5hf5.pdb,Acetylcholineesterase,,,X,,,"Crystal structure found, with ligand. Ligand removed.",,,
ADEN1HMN,5UEN,5uen.pdb,Adenosine A1 receptor,,Yes,X,,,"Found with ligand, ligand removed. Transmembrane region not removed.",,,
ADEN2A_HR,,,,,,,,,Recombinant protein of ADEN1HMN,,,
ADENNS,,,,,,,,,Non-selective binding assay,,,
ALPHA1,3NYA,3nya.pdb,Alpha-1 and alpha-2 adrenoceptor,,Yes,X,,,"Not found, added Beta-receptor instead. Literature suggest they act together.",,,
ALPHA1A,,,,,,,,,Not found,,,
ALPHA1B,,,,,,,,,Not found,,,
ALPHA2,,,,,,,,,Not found,,,
ALPHA2A,,,,,,,,,Not found,,,
ALPHA2B,,,,,,,,,Not found,,,
ALPHA2C_HR,,,,,,,,,Not found,,,
AMPA,5L1B,5l1b.pdb,AMPA subtype ionotropic glutamate receptor GluA2 in Apo state,,Yes,X,,,Original paper referred to no specific receptors. AMPA Glutamate receptor was found and glutamate is included as a ligand in the original reference. Structure should be relevant,,,
AMPKα1β1γ1,5T5T,5t5t.pdb,AMPK,,,,X,,"Structure with ligand, ligand removed.",,,
ANF1,1YK0,1yk0.pdb,Atrial natriuretic peptide receptor-C,,,X,,,Removed all chains but A and B,,,
AOT,,,,,,,,,Not found,,,
AOT_H,,,,,,,,,Not found,,,
APAMIN,5VA1,5va1.pdb,Voltage-Gated K channel,,Yes,X,,,Removed TM region,,,
AR_RAT,5T8E,5t8e.pdb,Androgen receptor,,,,X,,"Structure bound to ligand, Ligand removed.",,,
AT_1H,5UNF,5unf.pdb,Angiotensin II receptor,,Yes,X,,,"Structure bound to ligand, Ligand removed.",,,
AT2,,,,,,,,,Same structure as AT_1H,,,
BDZ_P,4TK1,4tk1.pdb,GABAA receptor,,,,X,,GABAA receptor associated with the Benzodiazepine receptor. Structure of GABAA receptor downloaded and  removed for ligand.,,,
BDZ_P_H,,,,,,,,,Same structure as above,,,
BETA1_HMNCELLS,4GPO,4gpo.pdb,Beta-1 adrenergic receptor,,Yes,,,,Structure from Turkey. Appears to contain only a transmembrane region. No visible receptor domain found.,,,
BETA2_HR_V3,5D6L,5d6l.pdb,Beta-2 adrenergic receptor,,Yes,X,,,Removed transmembrane region ,,,
BETA3_H,,,,,,,,,Not found,,,
BETANS,,,,,,,,,Not found,,,
BETA-SECRETASE,5V0N,5v0n.pdb,Beta-secretase,,,X,,,"Structure bound to ligand, Ligand removed.",,,
BK2,,,,,,,,,No structure associated with assay,,,
C5A,5HCC,5hcc.pdb,Complement C5 protein,,,X,,,Removed all chain but chain B,,,
CAR_Antagonist,1XNX,1xnx.pdb,Constitutive Androstane Receptor,,,X,,,Removed ligands and waters,,,
Caspase-1,5FNA,5fna.pdb,Caspase 1,,,X,,,Dimer structure OK,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3877935/
Caspase-2,1PYO,1pyo.pdb,Caspase 2,,,X,,,Dimer structure OK,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3877935/
Caspase-3,1I3O,1i3o.pdb,Caspase 3,,,X,,,Chain E and F removed. (Inhibitors),,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3877935/
Caspase-4,MODEL,csp4.pdb,Caspase 4,58.70%,,X,,,Protein modelled with 58.72 % Sequence identity to Caspase-1. Monomer,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3877935/
Caspase-5,,,,,,,,,Modelling not feasible,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3877935/
Caspase 8,2C2Z,2c2z.pdb,Caspase-8,,,X,,,"Acts  as monomers , removed ligands and waters",,,
Caspase 10,,,,,,,,,Not found,,,
CCKA,,,,,,,,,Not found,,,
CCKB,,,,,,,,,Not found,,,
CDK2_CycA,5NEV,5nev.pdb,Cyclin Kinase,,,X,,,"Acts as a dimer, all chains but A and C plus ligands removed",,,http://emboj.embopress.org/content/18/11/2930.abstract
CNTX,1T0J,1t0j.pdb,L-type calcium channel,,,,X,,Only a subunit present.,,,
COMT,3NWE,3nwe.pdb,Chatecolamino-o-metyl transferase,,,,X,,Structure OK Removed heteroatoms,,,
COX1,1DIY,1diy.pdb,Prostaglandin H synthase-1,,Integrated,X,,,Binds to arachidonic acd.  Only 1DIY was found with this substrate.  Removed all ligands,,,
COX2,5KIR,5kir.pdb,Prostaglandin H synthase-2,,Integrated,X,,,Binds peroxide. All ligands removed. Chain A and B retained,,,
cRAF,3OMV,3omv.pdb,cRAF Tyrosine Kinase,,,X,,,Structure OK . Removed ligands,,,
CRF,3EHS,3ehs.pdb,Cortocotropin releasing factor,,Yes,X,,,Extracellular domain. Structure OK. Removed ligands and water,,,
CYP1A1,4I8V,4i8v.pdb,Cytochrome P450 1A1,,,X,,,"Removed ligands, retained the heme group.",,,
CYP1A2,2HI4,2hi4.pdb,Cytochrome P450 1A2,,,X,,,"Removed ligands, retained the heme group.",,,
CYP2A6(h),4RUI,4rui.pdb,Cytochrome P450 2A6,,,X,,,"Removed ligands and water, retained the heme group.",,,
CYP2B6(h),3IBD,3ibd.pdb,Cytochrome P450 2B6,,,X,,,"Removed ligands and water, retained the heme group.",,,
CYP2C9(h),4NZ2,4nz2.pdb,Cytochrome P450 2C9,,,X,,,"Removed ligands and water, retained the heme group.",,,
CYP2C19(h),4GQS,4gqs.pdb,Cytochrome P450 2C19,,,X,,,"Removed ligands and water, retained the heme group.",,,
